Time,Production
1981-11-30,171151.0
1981-12-31,183694.0
1982-01-31,136737.0
1982-02-28,140451.0
1982-03-31,188417.0
1982-04-30,183808.0
1982-05-31,203965.0
1982-06-30,250894.0
1982-07-31,233219.0
1982-08-31,228935.0
1982-09-30,184946.0
1982-10-31,150447.0
1982-11-30,179909.0
1982-12-31,184134.0
1983-01-31,142585.0
1983-02-28,136841.0
1983-03-31,198320.0
1983-04-30,181645.0
1983-05-31,205704.0
1983-06-30,238068.0
1983-07-31,242353.0
1983-08-31,248394.0
1983-09-30,206774.0
1983-10-31,167155.0
1983-11-30,185513.0
1983-12-31,179897.0
1984-01-31,134182.0
1984-02-29,148929.0
1984-03-31,186908.0
1984-04-30,176350.0
1984-05-31,235876.0
1984-06-30,251936.0
1984-07-31,255063.0
1984-08-31,243706.0
1984-09-30,186598.0
1984-10-31,177526.0
1984-11-30,185500.0
1984-12-31,173295.0
1985-01-31,159444.0
1985-02-28,141387.0
1985-03-31,135586.0
1985-04-30,210865.0
1985-05-31,219020.0
1985-06-30,218482.0
1985-07-31,254778.0
1985-08-31,231581.0
1985-09-30,177086.0
1985-10-31,178547.0
1985-11-30,183412.0
1985-12-31,213551.0
1986-01-31,160289.0
1986-02-28,137020.0
1986-03-31,167288.0
1986-04-30,212542.0
1986-05-31,220727.0
1986-06-30,263557.0
1986-07-31,243962.0
1986-08-31,210115.0
1986-09-30,190004.0
1986-10-31,179617.0
1986-11-30,173163.0
1986-12-31,196512.0
1987-01-31,120751.0
1987-02-28,135998.0
1987-03-31,194126.0
1987-04-30,201812.0
1987-05-31,232662.0
1987-06-30,264776.0
1987-07-31,259701.0
1987-08-31,210408.0
1987-09-30,192897.0
1987-10-31,171389.0
1987-11-30,178172.0
1987-12-31,213182.0
1988-01-31,159854.0
1988-02-29,141774.0
1988-03-31,193720.0
1988-04-30,208378.0
1988-05-31,219193.0
1988-06-30,280766.0
1988-07-31,251298.0
1988-08-31,236171.0
1988-09-30,192124.0
1988-10-31,167422.0
1988-11-30,176063.0
1988-12-31,191076.0
1989-01-31,148629.0
1989-02-28,150100.0
1989-03-31,189178.0
1989-04-30,211568.0
1989-05-31,235698.0
1989-06-30,265046.0
1989-07-31,230234.0
1989-08-31,228999.0
1989-09-30,187886.0
1989-10-31,174481.0
1989-11-30,188419.0
1989-12-31,190744.0
1990-01-31,150195.0
1990-02-28,147146.0
1990-03-31,176093.0
1990-04-30,210868.0
1990-05-31,227607.0
1990-06-30,267749.0
1990-07-31,234337.0
1990-08-31,226394.0
1990-09-30,203115.0
1990-10-31,180151.0
1990-11-30,186996.0
1990-12-31,181455.0
1991-01-31,139664.0
1991-02-28,133312.0
1991-03-31,173048.0
1991-04-30,203313.0
1991-05-31,210220.0
1991-06-30,247906.0
1991-07-31,236437.0
1991-08-31,210524.0
1991-09-30,204228.0
1991-10-31,155539.0
1991-11-30,169986.0
1991-12-31,179424.0
1992-01-31,138178.0
1992-02-29,131888.0
1992-03-31,162625.0
1992-04-30,200717.0
1992-05-31,199912.0
1992-06-30,256494.0
1992-07-31,219599.0
1992-08-31,184901.0
1992-09-30,179722.0
1992-10-31,168546.0
1992-11-30,178256.0
1992-12-31,188139.0
1993-01-31,128460.0
1993-02-28,147281.0
1993-03-31,168359.0
1993-04-30,214129.0
1993-05-31,228000.0
1993-06-30,236177.0
1993-07-31,226668.0
1993-08-31,227146.0
1993-09-30,199605.0
1993-10-31,184080.0
1993-11-30,216591.0
1993-12-31,177212.0
1994-01-31,126700.0
1994-02-28,135387.0
1994-03-31,196822.0
1994-04-30,219695.0
1994-05-31,254794.0
1994-06-30,262339.0
1994-07-31,219618.0
1994-08-31,261701.0
