Time,Price
2017-09-29,0.0014073333333333336
2017-09-30,0.001387666666666667
2017-10-01,0.0013670000000000002
2017-10-02,0.001313666666666667
2017-10-03,0.001289666666666667
2017-10-04,0.0012580000000000004
2017-10-05,0.0012546666666666672
2017-10-06,0.001273666666666667
2017-10-07,0.0013133333333333339
2017-10-08,0.0013236666666666672
2017-10-09,0.0012970000000000006
2017-10-10,0.0012936666666666671
2017-10-11,0.0013046666666666673
2017-10-12,0.0013260000000000006
2017-10-13,0.0013336666666666672
2017-10-14,0.0013346666666666674
2017-10-15,0.001368000000000001
2017-10-16,0.001384000000000001
2017-10-17,0.0014013333333333343
2017-10-18,0.0013716666666666675
2017-10-19,0.0013466666666666677
2017-10-20,0.0013066666666666676
2017-10-21,0.0015140000000000008
2017-10-22,0.0015073333333333343
